isbn,title,series,year_quarter,q_num,q_since_first,trandate,marked_price,book_original_price,invoice,quantity,price,discount,disc_amt,amount,year,month,first_trandate
9781509885275,Andy Griffiths: The 117-Storey Treehouse,andy_griffiths,2019Q3,3,22,2019-08-06,89.0,79.00,30006683,952,23.0,0,0,21896.0,2019,8,2014-01-03
9781338323214,Dog Man #8 HB: Fetch-22,dog_man,2019Q4,4,23,2019-11-15,129.9,129.90,30006754,1872,101.9715,65,0,66811.7425,2019,11,2014-01-03
9789814857970,Captain Underpants #1 Color Edition: The Adventures of Captain Underpants,captain_underpants,2019Q4,4,23,2019-11-18,89.9,79.90,30006766,30,62.7215,65,0,658.5365,2019,11,2014-01-03
9789814864046,Captain Underpants #6 Colour Edition PB: Big Bad Battle of the Bionic Booger PT1,captain_underpants,2019Q4,4,23,2019-11-18,89.9,79.90,30006766,30,62.7215,65,0,658.5365,2019,11,2014-01-03
9789814855808,Captain Underpants #4 Colour Edition PB: Perilous Plot of Prof Poopypants,captain_underpants,2019Q4,4,23,2019-11-18,89.9,79.90,30006766,30,62.7215,65,0,658.5365,2019,11,2014-01-03
9789811179884,Dog Man PB Box Set (Book 1-4),dog_man,2019Q4,4,23,2019-11-18,279.0,279.00,30006766,28,219.7215,65,0,2153.255,2019,11,2014-01-03
9789811179884,Dog Man PB Box Set (Book 1-4),dog_man,2019Q4,4,23,2019-11-18,279.0,279.00,30006764,2,219.7215,65,0,153.7815,2019,11,2014-01-03
9789814864008,Captain Underpants #2 Color Edition: Attack of the Talking Toilets,captain_underpants,2019Q4,4,23,2019-11-18,89.9,79.90,30006766,30,62.7215,65,0,658.5365,2019,11,2014-01-03
9789814857987,Dog Man (PB) #06: Brawl of the Wild,dog_man,2019Q4,4,23,2019-11-18,79.9,79.90,30006765,80,62.7215,65,0,1756.202,2019,11,2014-01-03
9789811191008,Dog Man (PB) #05: Lord of the Fleas,dog_man,2019Q4,4,23,2019-11-18,79.9,69.90,30006765,60,62.7215,65,0,1317.1515,2019,11,2014-01-03
9789814864015,Captain Underpants #3 Color Edition: Invasion of Incredibly Naughty,captain_underpants,2019Q4,4,23,2019-11-18,89.9,79.90,30006766,30,62.7215,65,0,658.5365,2019,11,2014-01-03
9789814855815,Captain Underpants #5 Colour Edition PB: Wrath of the Wicked Wedgie Woman,captain_underpants,2019Q4,4,23,2019-11-18,89.9,79.90,30006766,30,62.7215,65,0,658.5365,2019,11,2014-01-03
9781509833771,Andy Griffiths: The 104-Storey Treehouse,andy_griffiths,2019Q4,4,23,2019-12-05,89.0,89.00,30006805,112,68.885,70,0,2314.49,2019,12,2014-01-03
