isbn,title,publisher,publication_date,book_format,reading_age,print_length,item_weight,length,width,height,rating,number_of_reviews,price,best_sellers_rank,customer_reviews
9780062381910,My Five Senses (Let's-Read-and-Find-Out Science 1),harper_collins,2015-08-04,hardcover,toddler,-0.30960038029106196,-0.15066225471411243,0.44464034827686855,0.6770133317883353,-0.4167896535888165,0.5297578644591594,-0.0872236724946371,-0.063595945037453,-0.7510318068614631,0.5297578644591594
9781409305996,Peppa Pig: Peppa Plays Football,ladybird,2000-01-01,hardcover,,-0.40468980901387247,-0.9396404142723886,-0.4486904815747465,0.6274777127223523,-0.8414556255911774,-0.042785403932524495,-0.24464461780668986,-0.3616442945957917,,-0.042785403932524495
9781407554648,Disney My First Disney ABC 123: Classic,parragon,2008-01-01,hardcover,,0.07075733460017995,0.4861059590178769,-0.32424638587402427,-1.0182056318030854,-0.11952347318716397,-3.8597405265437525,-0.2612152436290112,-0.35935914843269384,1.3489823618200683,-3.8597405265437525
9781445448121,Disney Brave Magical Story,parragon,,hardcover,,,0.24033577126167055,-0.026469442590152586,0.2366967178684859,-0.45925625078905263,,,,,
9780603565458,Thomas and Friends Read-along Story Book,egmont,1845-01-01,hardcover,,0.08264351319053127,0.1286220495543039,1.1113051466735964,1.1063220303601882,-0.17614560278747862,-1.9512629652381384,-0.2612152436290112,-0.27252359423497413,2.157552263258863,-1.9512629652381384
9780981924205,Winning with Accountability: The Secret Language of High-Performing Organizations,cornerstone_leadership_institute,2008-10-12,kindle,,0.10047278107605824,-0.5416602806898952,0.00019714934571674511,-0.4237782030112885,-0.6008115747898395,-0.042785403932524495,-0.19029858227077157,-0.05902565271125727,-0.811953258241223,-0.042785403932524495
9780603565236,Thomas and the Green Controller (Thomas & Friends),dean_&_son,2010-01-01,hardcover,,-0.30960038029106196,-0.6952666480375241,,,,0.9114533767202825,-0.26135567266140375,-0.37274357595941005,,0.9114533767202825
9781785985096,My Awesome Farm Book,make_believe_ideas,2016-09-01,board book,,-0.32148655888141325,1.5920718039208057,-0.5020236654464848,-0.6934721290371965,-0.40263412118873776,0.14806235219803623,-0.2561597984628793,-0.22029168193559387,0.32473066339603507,0.14806235219803623
9798862287516,Drawix : The Ultimate Art Book Anatomy for Artists: Figure Drawing Made Easy with Secrets!,independently_published,2023-09-23,paperback,,0.08264351319053127,-0.7204022354216817,-0.44424604958543507,-0.8365750285611474,-0.6291226395899969,-0.042785403932524495,-0.23439329844203344,0.03205374436078706,-0.8105282749019146,-0.042785403932524495
9780439810579,Guiness World Records Top 40: Incredible Collection (Guinness World Records: Top 40),scholastic,2006-03-01,paperback,preschool,0.30848090640720616,-0.42994655898252876,0.11130794907850469,-0.2861792611613355,-0.24692326478787216,0.9114533767202825,-0.2614961016937963,-0.31822651749693187,0.7779398145233977,0.9114533767202825
