isbn,title,series,year_quarter,format,channel,q_num,q_since_first,avg_discount_rate,print_length,item_weight,length,width,height,rating,price,quantity
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2016Q1,paperback,consignment,1,2,20.00,,,,,,,,4.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2023Q1,paperback,retail,1,30,5.00,,,,,,,,4.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2022Q3,paperback,retail,3,28,0.00,,,,,,,,3.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2017Q4,paperback,consignment,4,9,0.00,,,,,,,,3.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2017Q1,paperback,consignment,1,6,20.00,,,,,,,,3.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2023Q1,paperback,consignment,1,30,10.00,,,,,,,,3.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2018Q1,paperback,consignment,1,10,0.00,,,,,,,,3.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2022Q1,paperback,retail,1,26,0.00,,,,,,,,3.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2021Q4,paperback,wholesale,4,25,45.00,,,,,,,,3.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2019Q3,paperback,retail,3,16,6.67,,,,,,,,3.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2016Q3,paperback,retail,3,4,0.00,,,,,,,,2.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2016Q2,paperback,consignment,2,3,20.00,,,,,,,,2.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2021Q2,paperback,consignment,2,23,0.00,,,,,,,,2.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2015Q4,paperback,wholesale,4,1,20.00,,,,,,,,2.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2024Q2,paperback,retail,2,35,0.00,,,,,,,,1.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2023Q2,paperback,retail,2,31,0.00,,,,,,,,1.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2015Q3,paperback,wholesale,3,0,20.00,,,,,,,,1.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2021Q3,paperback,consignment,3,24,0.00,,,,,,,,1.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2020Q1,paperback,consignment,1,18,0.00,,,,,,,,1.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2019Q1,paperback,wholesale,1,14,35.00,,,,,,,,1.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2022Q1,paperback,consignment,1,26,0.00,,,,,,,,1.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2016Q3,paperback,wholesale,3,4,40.00,,,,,,,,1.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2017Q4,paperback,wholesale,4,9,40.00,,,,,,,,1.00
9789810731540,Captain Underpants #9: and the TerrifyingReturn of Tippy Tinkletrousers,captain_underpants,2018Q2,paperback,retail,2,11,0.00,,,,,,,,1.00
