isbn,data_source,title,authors,publisher,publication_date,language,page_count,categories,average_rating,ratings_count,description,thumbnail,binding,dimensions,weight
9780375867774,Google Books,T. Rex Trouble! (DC Super Friends),Dennis R. Shealy,Random House Books for Young Readers,2011-01-11,en,34.0,Juvenile Fiction,,,"Join Superman, Batman, Green Lantern, and the rest of the DC Super Friends as they fly off on a new adventure in this Step into Reading leveled reader for boys ages 4-6. When evil Lex Luthor takes over the city of Metropolis with an army of dinosaurs, the Super Friends rush in to save the day from these prehistoric monsters!",http://books.google.com/books/content?id=Xu5gUZ_eOjEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780394865706,Google Books,The Berenstain Bears and Too Much TV,"Stan Berenstain, Jan Berenstain",Random House Books for Young Readers,1984-04-12,en,38.0,Juvenile Fiction,4.0,1.0,"This classic Berenstain Bears story is a perfect way to teach children that it's possible to have too much of a good thing! Come for a visit in Bear Country with this classic First Time Book® from Stan and Jan Berenstain. Papa, Brother, and Sister have a new favorite hobby . . . watching TV. But when Mama feels like they are missing out on all the wonderful things around them, she makes a plan to get them away from the TV and into the outdoors. Includes over 50 bonus stickers!",http://books.google.com/books/content?id=AxoD0gbTqVIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780394868165,Google Books,The Best Mistake Ever! And Other Stories,Richard Scarry,Turtleback Books,1984,en,56.0,Juvenile Nonfiction,,,"Three stories about Lowly Worm and his friends include The Best Mistake Ever, A Visit to Mr. Fixit, and Best Friends.",http://books.google.com/books/content?id=z2S8oVKxv8IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780394868776,Google Books,Sleepy Dog,Harriet Ziefert,Random House Books for Young Readers,1984-10-12,en,40.0,Juvenile Nonfiction,,,"Simple text and illustrations portray a small dog getting ready for bed, sleeping, dreaming, and waking up.",http://books.google.com/books/content?id=Mf4IAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780394874715,Google Books,"Hungry, Hungry Sharks",Joanna Cole,Random House Books for Young Readers,1986,en,56.0,Juvenile Nonfiction,,,A simple discussion of the kinds of sharks and their behavior.,http://books.google.com/books/content?id=knVaAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780394880563,Google Books,Tiger Is a Scaredy Cat,Joan Phillips,Random House Books for Young Readers,1986-04-12,en,0.0,Juvenile Fiction,,,"Illus. in full color. Scared of dogs, vacuum cleaners, and even mice, a faint-hearted feline has a chance to prove himself a hero when a baby mouse gets lost from its parents.",http://books.google.com/books/content?id=eFmTEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780394886695,Google Books,The Titanic: Lost and Found,Judy Donnelly,Random House Books for Young Readers,1987-04-12,en,52.0,Juvenile Nonfiction,5.0,3.0,Titanic. Just the name evokes tales of the doomed ship that have captivated people of all ages for more than 100 years. Early readers will enjoy this exciting account of the world's most famous disaster-at-sea and the discovery of it's remains many years later. Step 4 books are perfect for independent readers who are confident with simple sentences and are just starting to tackle paragraphs.,http://books.google.com/books/content?id=WGaUzojtgAEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780394888668,Google Books,Pompeii...Buried Alive!,Edith Kunhardt,Random House Books for Young Readers,1987-10-12,en,52.0,Juvenile Nonfiction,,,"A Step 4 HISTORY reader. ""The drama of natural disasters provides prime material to entice young independent readers. In this volume, the account of the eruption of Mount Vesuvius describes village life 2,000 years ago, the eruption itself and its aftermath, and the excitement when the buried town is rediscovered centuries later. A lively and factual glimpse of a devastating moment in history, in an accessible, attractive package.""--Publishers Weekly. Step 4 Readers use challenging vocabulary an",http://books.google.com/books/content?id=CFo5XoTjMDIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780394888675,Google Books,David and the Giant,Emily Little,Random House Books for Young Readers,1987-10-12,en,36.0,Juvenile Fiction,,,"Illus. in full color. ""The accurate and lively version of the Bible story is written with a limited vocabulary suited to beginning readers. The short, simple sentences are nicely varied and read aloud well. The water-color illustrations are well-designed, amusing, and expressive. A good choice for beginning readers.""--School Library Journal.",http://books.google.com/books/content?id=UnZZSGtiAKgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780394892795,Google Books,The Missing Tooth,Joanna Cole,Random House Books for Young Readers,1988-11-08,en,56.0,Juvenile Nonfiction,,,"Alike in that they have the same pets, the same tooth missing, and the same love for peanut butter ice cream, best friends Arlo and Robby have a big fight when they notice a difference",http://books.google.com/books/content?id=zolpAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780394896748,Google Books,The Trojan Horse: How the Greeks Won the War,Emily Little,Random House Books for Young Readers,1988-11-08,en,52.0,Juvenile Fiction,5.0,1.0,"The Trojan War is one of the most important events in Greek mythology. It comes to life in this exciting Step 5 leveled reader about the Greeks' clever use of the Trojan Horse to wage a battle inside the walls of the city of Troy. Based on the legends of ancient scribes Virgil and Homer this hight-interest story is easy-to-read for proficient readers, but the action and adventure will entice even the most reluctant readers. Step 5 books are written in chapters and illustrated in full color throu",http://books.google.com/books/content?id=jbbwVXdQSTkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780394898094,Google Books,Whales: The Gentle Giants,Joyce Milton,Random House Books for Young Readers,1989-04-01,en,49.0,Juvenile Nonfiction,,,"Illus. in full color. ""Milton understands what kids like about whales, and packs a considerable amount of information into the book. This easy-reader leaps with appeal.""--Bulletin, Center for Children's Books.",http://books.google.com/books/content?id=UX7sX0bxfNsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780399226908,Google Books,The Very Hungry Caterpillar,Eric Carle,National Geographic Books,1994-03-23,en,0.0,Juvenile Fiction,,,"THE all-time classic picture book, from generation to generation, sold somewhere in the world every 30 seconds! A sturdy and beautiful book to give as a gift for new babies, baby showers, birthdays, and other new beginnings! Featuring interactive die-cut pages, this board book edition is the perfect size for little hands and great for teaching counting and days of the week. ""The very hungry caterpillar literally eats his way through the pages of the book—and right into your child's heart..."" —Mo",http://books.google.com/books/content?id=zW-NEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780399237720,Google Books,The Very Hungry Caterpillar,Eric Carle,Philomel,2001,en,13.0,Juvenile Fiction,4.5,8.0,"Follows the progress of a hungry little caterpillar as he eats his way through a varied and very large quantity of food until, full at last, he forms a cocoon around himself and goes to sleep. Die-cut pages illustrate what the caterpillar ate on successive days.",http://books.google.com/books/content?id=2CxcAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780399256738,Google Books,The Very Hungry Caterpillar,Eric Carle,,2010-10-28,en,32.0,,,,,http://books.google.com/books/content?id=c8FhuwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780439023122,Google Books,The Mysterious Cheese Thief,Geronimo Stilton,Scholastic Inc.,2007,en,115.0,Juvenile Fiction,4.5,14.0,Geronimo Stilton tries to find a thief who mysteriously causes cheese to disappear.,http://books.google.com/books/content?id=9JekcXRrAaIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,
9780439049962,Google Books,Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space (and the Subsequent Assault of the Equally Evil Lunchroom Zombie Nerds),Dav Pilkey,Scholastic Paperbacks,1999,en,148.0,Juvenile Fiction,5.0,1.0,"Presents the first four books in the Captain Underpants series, featuring the crazy adventures of Captain Underpants and his friends.",http://books.google.com/books/content?id=7GpQmKe58lwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780439049986,Google Books,Captain Underpants and the Perilous Plot of Professor Poopypants,Dav Pilkey,Scholastic Paperbacks,2000,en,164.0,Juvenile Fiction,5.0,5.0,"Professor Pippy P. Poopypants may be the greatest scientific genius the world has ever known. Unfortunately, he has such a silly name that nobody takes him seriously! Needless to say, George and Harold poo-poo Poopypants' pride - practically pulverizing it - and Poopypants is preparing to pounce! This looks like a job for Captain Underpants...",http://books.google.com/books/content?id=WvNJHBy7g_oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780439050005,Google Books,Captain Underpants and the Wrath of the Wicked Wedgie Woman,Dav Pilkey,,2001,en,182.0,JUVENILE FICTION,4.5,2.0,"George and Harold have really done it this time--they've created a monster! She's faster, smarter, and more evil than anything the world has seen before--she's Wedgie Woman! With the help of her horrible robots and her horrendous hairdo, Wedgie Woman is on a mission to take over the world, and she'll give a whopping wedgie to anyone who stands in her way--including Captain Underpants.",http://books.google.com/books/content?id=dpy25Z0qqKcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780439267618,Google Books,Captain Underpants Extra-crunchy Book of Fun,Dav Pilkey,Blue Sky Press (AZ),2001,en,95.0,Juvenile Nonfiction,5.0,2.0,"George, Harold, Captain Underpants, and a cast of bad guys jump from the pages in a lively activity book filled with puzzles, games, comics, drawing tips, Flip-o-Rama pages, and more. Original.",http://books.google.com/books/content?id=lgi1GwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780439376068,Google Books,The Adventures of Super Diaper Baby,Dav Pilkey,Walter de Gruyter,2002,en,132.0,Juvenile Fiction,,,"Oh, no! It's not enough that George and Harold have invented Captain Underpants, the greatest superhero of all time, and that they've also saved the world FIVE times! They defeated Dr. Diaper! They punished Professor Poopypants! And they whacked the wicked Wedgie Woman! What task could be worse?!!? This one: As punishment, the boys have to write a 100-page report on ""good citizenship,"" and they have been specifically ordered NOT to write another comic about Captain Underpants. So what do they do",http://books.google.com/books/content?id=A3blV8hn480C&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780439376082,Open Library,The all new Captain Underpants extra-crunchy Book O' Fun 2,Dav Pilkey,Blue Sky Press,2002,,96.0,"Humorous stories, Captain underpants (fictitious character), fiction, Juvenile Wit and humor, Puzzles, Games",,,,https://covers.openlibrary.org/b/id/14859934-M.jpg,,,
9780439376105,Google Books,"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 1",Dav Pilkey,Scholastic Paperbacks,2003,en,178.0,Juvenile Fiction,5.0,1.0,"Dav Pilkey's Newest Epic Novel Finds George, Harold, And Everyone's Favorite Superhero In The Stickiest Situation Yet.",http://books.google.com/books/content?id=U6QHUrnHjuoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780439376129,Google Books,"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy",Dav Pilkey,,2003,en,180.0,School principals,5.0,1.0,"George, Harold, Captain Underpants, and Sulu the bionic hamster battle the three ridiculous Robo-Boogers in an attempt to turn the Bionic Booger Boy back into Melvin Sneedly.",http://books.google.com/books/content?id=hKDWeS0SkhAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780439376143,Google Books,Captain Underpants and the Preposterous Plight of the Purple Potty People,Dav Pilkey,Blue Sky Press (AZ),2006,en,180.0,Juvenile Fiction,4.5,29.0,"Offers four previously published adventures featuring Harold, George, and principal-turned-superhero Captain Underpants.",http://books.google.com/books/content?id=OhR2xdOgHoIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780439417846,Google Books,The New Captain Underpants Collection,Dav Pilkey,Blue Sky Press,2002-08,en,128.0,Juvenile Fiction,5.0,14.0,The first five books of the popular Captain Underpants series are collected here in a boxed set of heroic adventures and dastardly bad guys.,http://books.google.com/books/content?id=dgwGAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780439458627,Google Books,If You're Happy and You Know It!,"Dena Neusner, Darren McKee",,2003-12-01,en,24.0,Juvenile Fiction,5.0,1.0,"When Barney and his friends go to the zoo, all the animals join them in singing a song.",http://books.google.com/books/content?id=XWcLHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
